phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
ɛ,ee,270,0.0,beethovenisa,beethovenisai,beethovenisaient
ɛ,ei,1523,0.0,abeilardisa,abeilardisai,abeilardisaient
ɛ,eï,39,0.0,koweïtisa,koweïtisai,koweïtisaient
ɛ,hai,166,0.0,achaine,achaines,carhaisien
ɛ,hè,746,0.0,absinthèrent,achène,achènes
ɛ,i,60,0.0,caninoïde,caninoïdes,connoissance
ɛ,ie,255,0.0,abbevillienne,abbevilliennes,acervallienne
ɛ,ue,3451,0.0,abouquel,abouquels,aguerri
ɛ,aict,1,0.0,traict,,
ɛ,aicts,1,0.0,traicts,,
ɛ,aid,2,0.0,laid,plaid,
ɛ,aids,1,0.0,laids,,
ɛ,aît,40,0.0,apparaît,autoconnaît,autoreconnaît
ɛ,aits,72,0.0,abaits,abstraits,attraits
ɛ,aix,6,0.0,cherfaix,paix,portefaix
ɛ,ayes,5,0.0,archegayes,calebayes,dépotayes
ɛ,ays,14,0.0,antigays,chardonnays,clays
ɛ,eah,1,0.0,yeah,,
ɛ,ect,12,0.0,aspect,circonspect,conspect
ɛ,ects,8,0.0,aspects,conspects,despects
ɛ,eh,18,0.0,bokeh,eh,ehrenwerthite
ɛ,ehs,5,0.0,chehs,keffiehs,kehs
ɛ,eigh,1,0.0,bobsleigh,,
ɛ,eighs,0,0.0,,,
ɛ,ès,107,0.0,abcès,accès,acrès
ɛ,et,1290,0.0,ableret,acquet,acret
ɛ,ês,3,0.0,corês,épistémês,épochês
ɛ,êt,30,0.0,acquêt,apprêt,arrêt
ɛ,ets,941,0.0,ablerets,acquets,acrets
ɛ,êts,30,0.0,acquêts,apprêts,arrêts
ɛ,eys,19,0.0,attorneys,bateys,beys
ɛ̃,aim,57,0.0,aim,claquefaim,daim
ɛ̃,aims,10,0.0,aims,claquefaims,daims
ɛ̃,ain,1510,0.02,abainvillois,abainvilloise,abainvilloises
ɛ̃,ains,322,0.0,acérains,adémontains,africains
ɛ̃,ein,1722,0.02,archiplein,arein,argentoliveingite
ɛ̃,eins,60,0.0,archipleins,areins,astreins
ɛ̃,haim,1,0.0,haim,,
ɛ̃,haims,1,0.0,haims,,
ɛ̃,hain,3,0.0,hain,haingre,séchehain
ɛ̃,hains,3,0.0,hains,séchehains,élisabéthains
ɛ̃,hein,1,0.0,hein,,
ɛ̃,hin,119,0.0,anhinga,anhingas,anhingidé
ɛ̃,im,6444,0.09,aguimpa,aguimpai,aguimpaient
ɛ̃,in,48450,0.68,abamectin,abrasin,absintha
ɛ̃,e,61,0.0,abergementier,abergementiers,abergementière
ɛ̃,en,4639,0.06,aalénien,abactérien,abbevillien
ɛ̃,ing,100,0.0,coing,fulguropoing,gingko
ɛ̃,ïn,218,0.0,caïnça,caïnças,coïncida
ɛ̃,în,116,0.0,abstînmes,abstîntes,appartînmes
ɛ̃,ym,1143,0.01,asymbolie,asymbolies,asymbolisa
ɛ̃,yn,1864,0.02,absynthe,absynthes,amblyrhynque
ɛ̃,ainc,9,0.0,autoconvainc,convainc,déconvainc
ɛ̃,aincs,9,0.0,autoconvaincs,convaincs,déconvaincs
ɛ̃,aing,3,0.0,bastaing,faing,parpaing
ɛ̃,aings,2,0.0,faings,parpaings,
ɛ̃,aint,263,0.0,autocontraint,complaint,contraint
ɛ̃,aints,18,0.0,autocontraints,complaints,contraints
ɛ̃,eing,4,0.0,contreseing,seing,blanc-seing
ɛ̃,eings,2,0.0,contreseings,seings,
ɛ̃,eint,38,0.0,astreint,atteint,aveint
ɛ̃,eints,34,0.0,astreints,atteints,aveints
ɛ̃,ens,2154,0.03,aaléniens,abbevilliens,aberdoniens
ɛ̃,ent,60,0.0,abstient,advient,appartient
ɛ̃,inct,5,0.0,distinct,d’instinct,indistinct
ɛ̃,incts,4,0.0,distincts,indistincts,instincts
ɛ̃,ingt,30,0.0,quatrevingt,vingt,quarante-vingt
ɛ̃,ingts,5,0.0,quatrevingts,vingts,quatre-vingts
ɛ̃,ins,1174,0.01,abiétins,abrasins,abstins
ɛ̃,int,106,0.0,abstint,adjoint,advint
ɛ̃,ints,39,0.0,adjoints,appoints,bipoints
ɛ̃,înt,61,0.0,abstînt,advînt,appartînt
ɛ̃,yms,2,0.0,rovethyms,thyms,
œ̃,1,0,0.0,,,
œ̃,i,0,0.0,,,
œ̃,Hun,0,0.0,,,
œ̃,Huns,0,0.0,,,
œ̃,un,663,0.93,abrunchi,abrunchie,abrunchies
œ̃,uns,25,0.03,aluns,aubuns,aucuns
œ̃,hum,3,0.0,humble,humblement,humbles
œ̃,um,12,0.01,lumbricidés,lump,lumps
œ̃,ums,3,0.0,parfums,brule-parfums,brûle-parfums
œ̃,unt,2,0.0,défunt,emprunt,
œ̃,unts,2,0.0,défunts,emprunts,
œ,heu,408,0.01,absintheur,absintheurs,aheurta
œ,hœ,0,0.0,,,
œ,hu,18,0.0,hub,hubs,hunter
œ,œ,262,0.01,angstrœm,angstrœms,arrœilla
œ,œu,472,0.01,ancœur,ancœurs,anticœur
œ,e,1269,0.05,affenpinscher,africander,africanders
œ,ea,3,0.0,earl,yearling,yearlings
œ,eu,17069,0.71,abaisseur,abaisseurs,abandonnateur
œ,i,147,0.0,birdie,birdies,callgirl
œ,io,41,0.0,fashion,fashionisa,fashionisai
œ,l,182,0.0,battle,battles,bubblegum
œ,o,47,0.0,chorfa,framework,frameworks
œ,ogl,0,0.0,,,
œ,oe,46,0.0,arroeilla,arroeillai,arroeillaient
œ,u,3646,0.15,aboyeur,aboyeurs,accueilliez
œ,ue,383,0.01,accueil,accueillables,accueillaient
œ,euent,1,0.0,aveuent,,
ə,ai,370,0.0,autosatisfaisaient,autosatisfaisais,autosatisfaisait
ə,e,544483,0.99,abadera,abaderai,abaderaient
ə,on,5,0.0,croquemonsieur,croquemonsieurs,monsieur
ø,euh,12,0.0,beuh,beuhers,beuhères
ø,eux,1103,0.07,abloqueux,abomiffreux,abomifreux
ø,œufs,5,0.0,bœufs,piquebœufs,mire-œufs
ø,e,493,0.03,argueil,basbleuisa,basbleuisai
ø,eu,12455,0.84,abaisseuse,abaisseuses,abandonneuse
ø,heu,70,0.0,absintheuse,absintheuses,bheu
ø,hœ,0,0.0,,,
